Brandon,Hagy,2015,,,,77111.0,
Brandon,Hagy,2016,,,,33226.0,
Brandon,Hagy,2017,1.0,26.0,70.57,861227.0,0.038461538461538464
Brandon,Hagy,2018,,,,76817.0,
Brandon,Harkins,2013,,,,,
Brandon,Harkins,2016,,,,24525.0,
Brandon,Harkins,2017,,,,,
Brandon,Harkins,2018,3.0,30.0,70.4,1148115.0,0.1
Brandon,Matthews,2017,,,,,
Brandon,Matthews,2018,,,,,
Brandon,McIver,2014,,,,,
Brandon,Pieters,2010,,,,,
Brandon,Pieters,2011,,,,,
Brandon,Pieters,2012,,,,,
Brandon,Pieters,2013,,,,,
Brandon,Smith,2011,,,,,
Brandon,Stone,2013,,,,,
Brandon,Stone,2014,,,,,
Brandon,Stone,2015,,,,,
Brandon,Stone,2016,,,,,
Brandon,Stone,2017,,,,127818.0,
Brandon,Stone,2018,,,,364939.0,
Brandt,Jobe,2010,,,,60317.0,
Brandt,Jobe,2011,4.0,28.0,70.33,1629764.0,0.14285714285714285
Brandt,Jobe,2012,1.0,18.0,71.53,344332.0,0.05555555555555555
Brandt,Jobe,2013,,,71.41,309105.0,
Brandt,Jobe,2014,,,,,
Brandt,Jobe,2015,,,,12825.0,
Brandt,Snedeker,2010,5.0,26.0,70.28,1602690.0,0.19230769230769232
Brandt,Snedeker,2011,7.0,26.0,69.94,3732206.0,0.2692307692307692
Brandt,Snedeker,2012,7.0,22.0,70.1,5309739.0,0.3181818181818182
Brandt,Snedeker,2013,9.0,23.0,70.19,5318087.0,0.391304347826087
Brandt,Snedeker,2014,3.0,25.0,70.91,1652380.0,0.12
Brandt,Snedeker,2015,8.0,27.0,70.11,3775556.0,0.2962962962962963
Brandt,Snedeker,2016,7.0,27.0,70.22,4345142.0,0.25925925925925924
Brandt,Snedeker,2017,4.0,15.0,70.02,1848306.0,0.26666666666666666
Brandt,Snedeker,2018,4.0,25.0,70.16,2538970.0,0.16
Branson,Ferrier,2016,,,,,
Braxton,Marquez,2010,,,,,
Brendan,Gielow,2010,,,,,
Brendan,Gielow,2011,,,,,
Brendan,Jones,2010,,,,60200.0,
Brendan,Jones,2011,,,,211250.0,
Brendan,Jones,2012,,,,57339.0,
Brendan,Jones,2013,,,,,
Brendan,Jones,2014,,,,,
Brendan,Jones,2015,,,,,
Brendan,Jones,2016,,,,,
Brendan,Jones,2017,,,,,
Brendan,Jones,2018,,,,,
Brendan,McCarroll,2018,,,,,
Brendan,Steele,2010,,,,,
Brendan,Steele,2011,3.0,27.0,70.98,2396810.0,0.1111111111111111
Brendan,Steele,2012,3.0,24.0,71.93,922215.0,0.125
Brendan,Steele,2013,2.0,26.0,71.04,1004161.0,0.07692307692307693
Brendan,Steele,2014,4.0,26.0,70.76,1359890.0,0.15384615384615385
Brendan,Steele,2015,4.0,24.0,70.14,1759484.0,0.16666666666666666
Brendan,Steele,2016,2.0,25.0,70.89,1589266.0,0.08
Brendan,Steele,2017,4.0,25.0,70.54,2907095.0,0.16
Brendan,Steele,2018,3.0,22.0,70.96,2399461.0,0.13636363636363635
Brenden,Pappas,2010,,,71.23,133584.0,
Brenden,Pappas,2011,,,,,
Brenden,Pappas,2012,,,,,
Brendon,Todd,2010,,,,,
Brendon,Todd,2011,,,,50000.0,
Brendon,Todd,2012,1.0,29.0,71.7,479295.0,0.034482758620689655
Brendon,Todd,2013,,,,473220.0,
Brendon,Todd,2014,7.0,29.0,70.25,3396747.0,0.2413793103448276
Brendon,Todd,2015,4.0,27.0,70.39,1809192.0,0.14814814814814814
Brendon,Todd,2016,,,72.44,75772.0,
Brendon,Todd,2017,,,,14925.0,
Brendon,Todd,2018,,,,,
Brendon,de Jonge,2010,7.0,32.0,70.14,2167978.0,0.21875
Brendon,de Jonge,2011,3.0,30.0,70.19,1349326.0,0.1
Brendon,de Jonge,2012,4.0,31.0,70.17,2280252.0,0.12903225806451613
Brendon,de Jonge,2013,4.0,30.0,70.01,1795244.0,0.13333333333333333
Brendon,de Jonge,2014,2.0,31.0,71.07,1316395.0,0.06451612903225806
Brendon,de Jonge,2015,3.0,31.0,70.29,1594935.0,0.0967741935483871
Brendon,de Jonge,2016,,,71.2,415583.0,
Brendon,de Jonge,2017,,,,54273.0,
Brendon,de Jonge,2018,1.0,14.0,,110276.0,0.07142857142857142
Brennan,Webb,2010,,,,,
Brent,Delahoussaye,2010,,,71.54,69708.0,
Brent,Delahoussaye,2011,,,,,
Brent,Delahoussaye,2012,,,,,
Brent,Grant,2017,,,,,
Brent,Long,2011,,,,,
Brent,McCullough,2011,,,,,
Brent,McCullough,2012,,,,,
Brent,Snyder,2015,,,,,
Brent,Witcher,2011,,,,,
Bret,Guetz,2010,,,,,
Bret,Nutt,2013,,,,,
Brett,Bergeron,2012,,,,,
Brett,Coletta,2017,,,,66410.0,
Brett,Coletta,2018,,,,,
Brett,Drewitt,2014,,,,,
Brett,Drewitt,2015,,,,,
Brett,Drewitt,2016,,,,,
Brett,Drewitt,2017,,,71.57,184388.0,
Brett,Drewitt,2018,,,,,
Brett,Jones,2015,,,,,
Brett,Lederer,2010,,,,,
Brett,Munson,2014,,,,,
Brett,Munson,2015,,,,,
Brett,Munson,2016,,,,,
Brett,Munson,2017,,,,,
Brett,Patterson,2011,,,,,
Brett,Quigley,2010,1.0,29.0,70.69,597296.0,0.034482758620689655
Brett,Quigley,2011,,,,113075.0,
Brett,Quigley,2012,,,,106858.0,
Brett,Quigley,2013,,,,,
Brett,Quigley,2014,,,,10260.0,
Brett,Quigley,2015,,,,,
Brett,Quigley,2016,,,,,
Brett,Rankin,2017,,,,,
